sudarshan,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
roston chase,0.0,0.0,0.0,0.0,0.0,142.0,142.0,142.0,142.0,186.0,186.0
marco jansen,0.0,0.0,0.0,71.0,71.0,171.0,171.0,171.0,294.0,294.0,294.0
jason holder,0.0,116.0,116.0,116.0,116.0,203.0,203.0,203.0,203.0,357.0,357.0
sahibzada farhan,0.0,124.0,124.0,124.0,297.0,297.0,297.0,297.0,297.0,275.0,275.0
matheesha pathirana,0.0,0.0,56.0,56.0,56.0,56.0,96.0,96.0,96.0,96.0,103.0
naseem shah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jason smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam zampa,0.0,0.0,0.0,0.0,0.0,164.0,164.0,179.0,179.0,179.0,175.0
dewald brevis,0.0,0.0,0.0,7.0,7.0,59.0,59.0,59.0,92.0,92.0,92.0
david miller,0.0,0.0,0.0,86.0,86.0,197.0,197.0,197.0,254.0,254.0,254.0
shaheen shah afridi,0.0,43.0,43.0,43.0,111.0,111.0,111.0,111.0,111.0,167.0,167.0
