ds&ps,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10
glenn maxwell,0.0,0.0,0.0,0.0,0.0,10.0,10.0,43.0,43.0,43.0,88.0
romario shepherd,0.0,207.0,207.0,207.0,207.0,238.0,238.0,238.0,238.0,238.0,238.0
paul stirling,0.0,0.0,19.0,19.0,19.0,35.0,35.0,35.0,35.0,35.0,35.0
josh inglis,0.0,0.0,0.0,0.0,0.0,126.0,126.0,160.0,160.0,160.0,205.0
shimron hetmyer,0.0,170.0,170.0,170.0,170.0,223.0,223.0,223.0,223.0,327.0,327.0
will jacks,0.0,0.0,141.0,141.0,141.0,121.0,121.0,121.0,168.0,168.0,329.0
jos buttler,0.0,0.0,69.0,69.0,69.0,109.0,109.0,109.0,127.0,127.0,160.0
mitchell marsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
shamar joseph,0.0,65.0,65.0,65.0,65.0,120.0,120.0,120.0,120.0,143.0,143.0
anrich nortje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gudakesh motie,0.0,41.0,41.0,41.0,41.0,151.0,151.0,151.0,151.0,153.0,153.0
